グッズ名,記述,item_code,amazon_link,type_id
モリタ宮田工業 maffs(マフス) 住宅用消火器 ブラック,お酢の成分と安全な食品原料から作られた、人にやさしい中性薬剤を使用。ストーブ火災や天ぷら油火災など、家庭で起こりうる様々な火災に対応しています。,amore-japan:10818844,https://www.amazon.co.jp/maffs-%E4%BD%8F%E5%AE%85%E7%94%A8%E6%B6%88%E7%81%AB%E5%99%A8-VF1HAM-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88-%E3%83%A2%E3%83%AA%E3%82%BF%E5%AE%AE%E7%94%B0%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/dp/B081GLZ82G/ref=sr_1_2?adgrpid=115545145363&hvadid=620472205376&hvdev=c&hvqmt=b&hvtargid=kwd-361669362703&hydadcr=15596_13605460&jp-ad-ap=0&keywords=%E3%83%A2%E3%83%AA%E3%82%BF%E5%AE%AE%E7%94%B0%E5%B7%A5%E6%A5%AD+%E6%B6%88%E7%81%AB%E5%99%A8&qid=1663056288&sr=8-2,1
防炎タオル：ワイドサイズ：ピンク,てんぷら火災等の初期対応、災害時の避難用マスクや頭巾としてご使用可能です。タオル自体も、吸水性がよく肌にもソフトな日本製ですので、安心安全にタオルとしてご使用可能です。,amenitylife:10002028,,1
防災 ラクシ―シンプル 投げる消火器,火元の床や壁に投げつけるだけで手軽に火災を瞬時に消化できます。必要以上に火に近づかなくてもいいので、お子様や女性、高齢者の方にも簡単に消化が可能になります。,azuazu:10001121,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%97%E3%83%AD%E3%83%86%E3%82%AF%E3%83%88-R-01-%E3%83%A9%E3%82%AF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E6%B6%88%E7%81%AB%E7%94%A8%E5%85%B7/dp/B01D43T5CI,1
地震対策 伸縮棒 ML 高さ50-80cm ホワイト,地震の際に家具の転倒を防止する突っ張りタイプの家具転倒防止伸縮棒です。揺れても天井と家具をしっかり固定します。,daiyu8:10051640,https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E9%98%B2%E7%81%BD%E3%82%B0%E3%83%83%E3%82%BA-%E5%AE%B6%E5%85%B7%E8%BB%A2%E5%80%92%E9%98%B2%E6%AD%A2%E4%BC%B8%E7%B8%AE%E6%A3%92-%E9%AB%98%E3%81%9550-80cm-KTB-50/dp/B000S6KTA2,2
防災用救助笛（ツインウェーブ） 白,3200Hzと4800Hzの2種類の音を同時に出すことができるホイッスルです。この周波数は人間にとって非常に聞きやすい音とされており、ひと吹きで多くの人の注意を引くことができます。,officeyu:10320252,https://www.amazon.co.jp/%E3%82%B3%E3%82%AF%E3%83%A8-%E9%98%B2%E7%81%BD%E7%94%A8%E6%95%91%E5%8A%A9%E7%AC%9B-%E9%98%B2%E7%81%BD%E3%81%AE%E9%81%94%E4%BA%BA-%E3%83%84%E3%82%A4%E3%83%B3%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96-DRK-WS1W/dp/B001RCU22G,2
耐震 家具 粘着ゴム ゲル,特殊エラストマー樹脂高粘着ゲルで転落・落下を防止します。貼るだけで簡単に設置していただけます。粘着面が汚れたら、水で洗ってよく乾かすことで再利用できます。,next-online:10000129,https://www.amazon.co.jp/iHouse-all-%E9%9D%99%E9%9F%B3%E3%83%9E%E3%83%83%E3%83%88%E4%B8%A1%E9%9D%A2%E7%B2%98%E7%9D%80-%E9%9C%87%E5%BA%A67%E3%81%BE%E3%81%A7%E5%AF%BE%E5%BF%9C-%E8%80%90%E8%8D%B7%E9%87%8D100kg/dp/B082S3WPMM/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=AJBCCQ5HPJQ3&keywords=%E8%80%90%E9%9C%87+%E3%82%B2%E3%83%AB+mobilier&qid=1663057048&sprefix=%E8%80%90%E9%9C%87+%E3%82%B2%E3%83%AB+mobilier%2Caps%2C185&sr=8-7,2
防災セット 一人用 5年保証 【防災士厳選36種39点】,最優先で用意しておくべき用品が揃っており、緊急避難用品の充実度はかなり高いです。また胸元にチェストベルトがついているので激しい動きでもずれにくい点も魅力。,import-garden:10002620,https://www.amazon.co.jp/Defend-Future-%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A2%E3%83%A9%E3%82%B8%E3%82%AA%E3%83%A9%E3%82%A4%E3%83%88-%E5%9B%BD%E5%86%85%E7%94%9F%E7%94%A3%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E7%B1%B3%E3%83%BB%E4%BF%9D%E5%AD%98%E6%B0%B4-DD-EK01RLF/dp/B07B3QQB8C,3
簡易トイレ 非常用トイレセット 60回分,凝固剤60包と汚物袋（黒ビニール袋）60枚をコンパクトに詰めた非常用簡易トイレセットです。省スペースで吸水性も高く、15年間半永久保存可能です。,advancedselect:10000200,,3
救急セット ファーストエイドキット,災害などいざという時の怪我の際に、素早く応急手当てができる物が揃っているセットです。サイズが小さく、軽くて丈夫です。持ち運びも大変便利です。,idealife:10000126,https://www.amazon.co.jp/dp/B07GFC7G3G?tag=mybest_presses_946-22,3
防災 ラクシ―シンプル 投げる消火器,火元の床や壁に投げつけるだけで手軽に火災を瞬時に消化できます。必要以上に火に近づかなくてもいいので、お子様や女性、高齢者の方にも簡単に消化が可能になります。,azuazu:10001121,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%97%E3%83%AD%E3%83%86%E3%82%AF%E3%83%88-R-01-%E3%83%A9%E3%82%AF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E6%B6%88%E7%81%AB%E7%94%A8%E5%85%B7/dp/B01D43T5CI,4
